"Status Code/Type"	"Row Name"	"Run #"	A	B	C	D	Diameter	E	F	G	H	Hole_Elem_Num	postFailTSAIW_CF	"Design Feasibility"	"Objective and Penalty"	"Objective Function"	"Penalty Function"
OK	Optimization[1]/Subflow[1]	1	60.2956957117716	-56.62360916718152	76.17208036106308	-50.52116603752924	6	-43.92417484514213	-13.067445506264548	-31.25238789500026	-67.97060351213378	30	6.69604730606	9	6.69604730606	6.69604730606	0
OK	Optimization[1]/Subflow[2]	2	24.30872338128843	-18.230709020170366	38.59858660612477	59.765369868040125	6	-33.15061103606171	-5.824348668771762	24.093438747093785	65.10588309614192	30	5.75333690643	9	5.75333690643	5.75333690643	0
OK	Optimization[1]/Subflow[3]	3	58.07777849486564	-63.630758449587304	-28.03546828385918	37.05527111265215	6	68.72426809026484	-77.9482588407781	26.883745260575466	-82.52060318671019	30	4.18096637726	9	4.18096637726	4.18096637726	0
OK	Optimization[1]/Subflow[4]	4	78.16803954395988	86.94124176054086	21.581305494558123	-42.445874526136535	6	-44.401028535628534	40.92199013056015	80.39840474485493	73.52651231334735	30	2.95437097549	9	2.95437097549	2.95437097549	0
OK	Optimization[1]/Subflow[5]	5	-84.56631386212179	-36.54781995335849	74.16432688578485	45.929398697464336	6	-82.62360451458291	-1.1295193582781025	-50.71134518974473	31.389954905280135	30	5.165995121	7	5.165995121	5.165995121	0
OK	Optimization[1]/Subflow[6]	6	46.515096272405145	53.24180467431833	-61.040849234620936	1.1728904420766781	6	-86.15615488937918	-20.61694587406751	69.33602433333391	5.598865797695282	30	5.0838508606	7	5.0838508606	5.0838508606	0
OK	Optimization[1]/Subflow[7]	7	22.6016486599776	1.7093988179929767	38.63315062276229	-31.52120957620408	6	-9.181347369830036	17.54174901717755	51.97685018632575	-79.29536395235692	30	9.17604923248	7	9.17604923248	9.17604923248	0
OK	Optimization[1]/Subflow[8]	8	85.46019315331958	56.51603538874704	-0.0670820475689595	7.137328055354573	6	-31.44056698036799	84.73490496365733	-6.407547662961264	5.932412458553557	30	5.58373069763	7	5.58373069763	5.58373069763	0
Failed	Optimization[1]/Subflow[9]	9	-59.27090863809259	85.30248805332099	-85.89280537765102	-55.55591065944513	6	-67.55702547123424	-48.117151198901695	-0.435087666083831	20.84821775981453	30					
OK	Optimization[1]/Subflow[10]	10	-1.5220826847321973	36.922730047940675	37.095505857583134	65.62495676752218	6	-4.093274385299011	1.1792414110877445	-6.901519342747633	82.04166763363222	30	6.73653888702	7	6.73653888702	6.73653888702	0
Failed	Optimization[1]/Subflow[11]	11	68.10638526744899	-50.5560874076396	71.00119580196267	-45.52807581845453	6	-45.31113274429085	11.850351048578219	16.585471230786325	40.97985740553946	30					
OK	Optimization[1]/Subflow[12]	12	67.86305919129398	-9.664239343803743	32.479321562333965	5.4107593311244955	6	-37.122293619582315	24.137067772894753	56.14080996205604	68.08494660751461	30	2.25126266479	9	2.25126266479	2.25126266479	0
OK	Optimization[1]/Subflow[13]	13	61.69949148097447	-49.72630918484236	-24.548548226671087	19.885393534118904	6	-9.429305496663716	-19.889481304308404	38.62720750863579	-23.26387903023972	30	7.15139389038	7	7.15139389038	7.15139389038	0
OK	Optimization[1]/Subflow[14]	14	80.20534769780696	89.59639397140509	25.121776016126603	-41.841880557758266	6	-43.16270232368976	40.5543296433988	78.7857297646739	73.37466656965603	30	2.8658144474	7	2.8658144474	2.8658144474	0
OK	Optimization[1]/Subflow[15]	15	35.64622717071805	58.98420739750776	33.51880486574257	-15.631374147764689	6	-74.68635329359869	9.455829547842669	-33.418017468031124	44.03278686677612	30	3.94451904297	7	3.94451904297	3.94451904297	0
OK	Optimization[1]/Subflow[16]	16	49.85730529803902	58.79917271843394	-54.38558295943379	-12.547384469355222	6	-78.74501625929864	-12.043696701916645	76.97991072076499	60.05853613596133	30	3.17290997505	7	3.17290997505	3.17290997505	0
OK	Optimization[1]/Subflow[17]	17	52.23372048752745	47.06472822128805	34.65857838906224	-35.70867128314673	6	-18.217461130506493	35.29466769187242	67.69319016244211	-62.26004224340004	30	3.03668832779	7	3.03668832779	3.03668832779	0
OK	Optimization[1]/Subflow[18]	18	77.95350157815699	75.09771308002053	15.95220220824983	-27.24653905605507	6	-37.420243747825786	61.57167384939572	4.973071470493409	56.75902159685677	30	2.30618619919	7	2.30618619919	2.30618619919	0
OK	Optimization[1]/Subflow[19]	19	-1.1448514025985475	88.03488502575524	-46.883229850324376	-50.85512667618022	6	-61.61634226281684	14.958004804932685	13.24985514825336	47.97169377124462	30	4.55399179459	7	4.55399179459	4.55399179459	0
OK	Optimization[1]/Subflow[20]	20	70.80566375275419	62.37121441862092	20.121873952749965	29.973840523921027	6	-9.705958336523025	12.16508629343842	51.659857468576405	76.96510774552397	30	3.57152533531	7	3.57152533531	3.57152533531	0
OK	Optimization[1]/Subflow[21]	21	67.91854031156026	-29.869072856447346	59.391046212533524	-15.884150912367147	6	-37.964617653034814	11.10058969259751	15.753501109627734	50.26581451847443	30	3.59612202644	7	3.59612202644	3.59612202644	0
OK	Optimization[1]/Subflow[22]	22	76.5739263532951	-7.950945408530416	31.255468553575795	-5.460162776258642	6	-37.916630136286436	30.12935106122805	70.95559455595529	68.68075930978915	30	2.29656934738	7	2.29656934738	2.29656934738	0
OK	Optimization[1]/Subflow[23]	23	67.56681896413977	-29.378361132383013	2.5626109783512163	15.232062767793693	6	-42.268868634173096	-17.770538959381156	46.47829121607444	4.427701959820382	30	7.74647283554	7	7.74647283554	7.74647283554	0
